id,date,title,body,category,priority
1,2025-12-27,PC non parte,"Quando premo avvio non visualizza niente, schermata nera",Tecnico,alta
2,2025-12-27,Fattura fornitore non visibile nel gestionale,"Buongiorno, la fattura del fornitore Alfa Srl del mese corrente risulta caricata ma non è visibile nel gestionale amministrativo. Ho provato a uscire e rientrare dal sistema ma il problema persiste.",Amministrazione,media
3,2025-12-27,Impossibile stampare documenti contabili urgenti,La stampante dell’ufficio amministrazione non risponde e dobbiamo stampare con urgenza dei documenti per una scadenza fiscale di oggi. Al momento nessuno riesce a stampare.,Amministrazione,alta
4,2025-12-27,Impossibile stampare documenti contabili urgenti,La stampante dell’ufficio amministrazione non risponde e dobbiamo stampare con urgenza dei documenti per una scadenza fiscale di oggi. Al momento nessuno riesce a stampare.,Tecnico,alta
5,2025-12-27,Richiesta accesso cartella bilanci,Avrei bisogno dell’accesso in lettura alla cartella di rete “Bilanci_2024” per verificare alcuni dati richiesti dal revisore. Attualmente ricevo un messaggio di accesso negato.,Tecnico,media
6,2025-12-27,CRM non si apre dopo aggiornamento,Da questa mattina il CRM aziendale non si avvia sul mio PC. Dopo il doppio clic compare una schermata bianca e poi il programma si chiude. Ho una call con un cliente tra un’ora.,Commerciale,alta
7,2025-12-27,Email cliente rimbalzate,"Sto cercando di inviare offerte a un cliente ma le email tornano indietro con errore di mancata consegna. Succede solo con questo contatto, gli altri funzionano.",Commerciale,bassa
8,2025-12-27,Richiesta configurazione firma email,Avrei bisogno di aggiornare la firma email con il nuovo ruolo e il numero di telefono. Potete indicarmi come fare o applicarla centralmente?,Tecnico,media
9,2025-12-27,PC non si avvia dopo spegnimento improvviso,Ieri il computer si è spento improvvisamente durante il lavoro e ora non si avvia più. All’accensione sento la ventola ma lo schermo rimane nero.,Tecnico,alta
10,2025-12-27,Connessione di rete instabile in laboratorio,Nel laboratorio tecnico la connessione di rete cade frequentemente durante il giorno. Questo sta rallentando i test sui sistemi e le connessioni SSH si interrompono.,Tecnico,alta
11,2025-12-27,Installazione software di monitoraggio,Avrei bisogno dell’installazione del software di monitoraggio XYZ sul mio PC per una nuova attività di controllo. Non ho i permessi di installazione.,Tecnico,alta
12,2025-12-27,Installazione software di monitoraggio,Avrei bisogno dell’installazione del software di monitoraggio XYZ sul mio PC per una nuova attività di controllo. Non ho i permessi di installazione.,Tecnico,bassa
13,2025-12-27,Server di test non raggiungibile,Il server di test interno non risponde al ping e non è accessibile via browser o SSH. Il problema è iniziato circa 30 minuti fa e blocca le attività del team.,Tecnico,alta
14,2025-12-27,Blocco attività amministrative per stampa documenti fiscali,A causa di un problema stiamo riscontrando l’impossibilità di stampare documenti fiscali e contabili necessari per le chiusure amministrative di oggi. La situazione sta impedendo il rispetto delle scadenze previste.,Tecnico,media
15,2025-12-27,Problemi con la stampa in ufficio,In ufficio non è possibile stampare alcuni documenti. Il problema si presenta da questa mattina e coinvolge più persone. Si chiede supporto per la risoluzione.,Tecnico,media
16,2025-12-27,Stampante non raggiungibile in rete,La stampante di rete dell’ufficio amministrativo risulta non raggiungibile e i job di stampa rimangono in coda. Il problema è presente su più postazioni.,Tecnico,media
17,2025-12-27,Blocco attività amministrative per stampa documenti fiscali,A causa di un problema stiamo riscontrando l’impossibilità di stampare documenti fiscali e contabili necessari per le chiusure amministrative di oggi. La situazione sta impedendo il rispetto delle scadenze previste.,Tecnico,alta
18,2025-12-27,Accesso negato al gestionale contabile,"Quando provo ad accedere al gestionale contabile compare un messaggio di credenziali non valide, nonostante la password sia corretta. Il problema è iniziato questa mattina e non riesco a lavorare sulle registrazioni.",Tecnico,media
19,2025-12-27,Dati di fatturazione non aggiornati,Nel gestionale risultano ancora visibili i dati di fatturazione precedenti alla modifica inviata la settimana scorsa. È possibile verificare se l’aggiornamento è stato recepito?,Tecnico,media
