id,title,body,category,priority
1,Schermo nero all'avvio del PC,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
2,Richiesta supporto su documenti fiscali,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
3,Documenti di offerta,Richiesta abilitazione per gestire le condizioni economiche delle offerte nel CRM,Commerciale,bassa
4,Errore applicativo: bug,Si verifica bug durante l'avvio.,Tecnico,media
5,PC non si accende,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,alta
6,Problema nella chiusura fiscale mensile,Vorrei informazioni su dati anagrafici.,Amministrazione,bassa
7,Errore durante stampare con stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
8,Documenti di offerta,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,bassa
9,Urgenza stampare: stampante bloccato,Serve il setup di stampante sul PC assegnato,Tecnico,media
10,Richiesta permessi aggiuntivi su portale vendite,Richiedo un'offerta per statistiche di vendita.,Commerciale,bassa
11,Copia documento contabile,Richiedo duplicato fattura per reinvio al fornitore Urgente.,Amministrazione,media
12,Ritardo nella spedizione del ordine #12345,Tempi di consegna superati per l'ordine ordine #12345.,Commerciale,media
13,Dati di fatturazione non aggiornati,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale? Urgente.,Amministrazione,media
14,Richiesta listino aggiornato,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
15,Problema nella chiusura fiscale mensile,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
16,Errore durante la chiusura contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
17,Problema nella chiusura fiscale mensile,Vorrei informazioni su dati anagrafici. Urgente.,Amministrazione,media
18,Blocco stampa documenti fiscali,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
19,Blocco stampa documenti fiscali,Driver di stampa non installato; impossibile stampare.,Tecnico,media
20,Anomalia statistiche di vendita,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
21,Informazioni su kpi vendite,Vorrei sapere se è disponibile kpi vendite.,Commerciale,bassa
22,Blocco stampa documenti fiscali,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
23,Richiesta duplicato documento fiscale,Non è urgente: chiarimenti su iban.,Amministrazione,bassa
24,Errore applicativo: errore,Si verifica errore durante l'avvio.,Tecnico,media
25,Copia documento contabile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
26,Problema connessione,"Non si collega alla connessione, possibile timeout.",Tecnico,media
27,Errore applicativo: bsod,Si verifica bsod durante l'avvio.,Tecnico,media
